blind blond cross road ; follow seeing-ey chicken .
call pile kitten ; meowntain .
call babi monkey ; chimp old block .
hear race lettuc tomato ; lettuc head tomato tri ketchup .
hear hungri clock ; went back four second .
call boy final stood bulli ; ambul .
ca give elsa balloon ; let go .
get pamper cow ; spoil milk .
mississippi bought virginia new jersey would delawar ; idaho alaska .
hear new broom ; sweep nation .
call eleph matter ; irreleph .
lawyer wear court ; lawsuit .
get wetter dri ; towel .
crayon go vacat ; color-ado .
belt get arrest ; held pair pant .
call fat psychic ; four chin teller .
call comput float ocean ; dell roll deep .
bacon say tomato ; lettuc get togeth .
call comput sing ; a-del .
hear shampoo shortag jamaica ; dread-ful .
call cat win dog show ; cat-has-trophi .
make tissu danc ; put littl boogey .
heavi forward backward ; ton .
call gangsta snowman ; froze-t .
femur say patella ; kneed .
get cross cat dark hors ; kitti perri .
pictur go jail ; frame .
call three-foot aardvark ; yardvark .
get cross fish eleph ; swim trunk .
bee go bathroom ; bp station .
earn live drive custom away ; taxi driver .
call laugh jar mayonnais ; lmayo .
call dinosaur extens vocabulari ; thesauru .
shoot killer bee ; bee bee gun .
drown hipster ; mainstream .
kind joke make shower ; clean joke .
babi corn say mama corn ; popcorn .
make holi water ; boil hell .
happen dog swallow firefli ; bark de-light .
stay corner travel world ; stamp .
call man bodi nose ; nobodi nose .
comput go doctor ; viru .
giraff get bad grade ; head cloud .
frog happi ; eat whatev bug .
brown head tail leg ; penni .
make octupu laugh ; ten-tickl .
pirat call pirat ; caus arrrrr .
tallest build world ; librari stori .
first bet peopl make live ; alpha bet .
get cross cow duck ; milk quacker .
organ space parti ; planet .
leopard say eat owner ; man hit spot .
call sleep bull ; bulldoz .
call secur guard work outsid samsung shop ; guardian galaxi .
call grandma speed dial ; instagram .
banana go doctor ; peel well .
england wettest countri ; queen reign year .
belong other use ; name .
fish live salt water ; pepper make sneez .
man put money freezer ; want cold hard cash .
get cross snowman vampir ; frostbit .
best day go beach ; sunday cours .
build largest ; librari stori .
call illeg park frog ; toad .
bow ca tie ; rainbow .
call laugh motorcycl ; yamahahaha .
season trampolin ; spring time .
comput go danc ; disc-o .
one head one foot four leg ; bed .
differ school teacher train ; teacher say spit gum train say chew chew chew .
birdi go hospit ; get tweetment .
cross-ey teacher lose job ; could control pupil .
call someon afraid santa ; clausterphob .
three candi find everi school ; nerd dumdum smarti .
sound porcupin make kiss ; ouch .
guy look fast food friend ; friend said dinner .
hear joke roof ; never mind head .
call bee live america ; usb .
make tissu danc ; put bogey .
skeleton go danc ; no-bodi go .
crazi peopl go forest ; take psycho path .
hear angri pancak ; flip .
prison use call ; cell phone .
call cow twitch ; beef jerki .
ever hear movi constip ; never came .
call bear teeth ; gummi bear .
get cross sonic hedgehog curiou georg ; 2 fast 2 curiou .
hear hairdress ; dy .
call musician problem ; trebl man .
hear italian chef die ; pasta way .
snowmen keep money ; snow bank .
call religi person sleep walk ; roman cathol .
hear crab went seafood disco ; pull muscl .
hear carrot detect ; got root everi case .
ca take nap race ; snooz loos .
tie say hat ; go ahead hang around .
wash small beach ; microwav .
never ask question receiv lot answer ; telephon .
goe town hill move ; road .
hear guy got hit head soda ; lucki soft drink .
thunder lightn lab ; scientist brainstorm .
delawar ; new jersey .
toni go prune ; could find date .
cal purpl mean ; violent .
littl mountain say big mountain ; hi cliff .
hear one geologist ; took wife granit left .
winni pooh say agent ; show honey .
man say wall ; one crack like plaster ya .
get cross fridg radio ; cool music .
could pirat play card ; sit deck .
differ bird flu swine flu ; bird flu need tweetment swine flu need oink-ment .
traffic light turn red ; would chang middl street .
one elev say elev ; think come someth .
call window rap ; 2panez .
happen faucet tomato lettuc race ; lettuc ahead faucet run tomato tri ketchup .
ca nose 12 inch long ; would foot .
four wheel fli ; garbag truck .
start p end e million letter ; post offic .
call belt watch ; waist time .
blanket say bed ; worri got cover .
take pencil bed ; draw curtain .
call unpredict control photograph ; loos canon .
call frozen dog ; pupsicl .
lone ranger say take garbag ; dump dump dump dump dump .
mani book put empti backpack ; one empti .
kind button wo unbutton ; bellybutton .
call 80 synth pop band scoop ice cream ; depech la mode .
call group men wait haircut ; barbercu .
sea-gul fli sea ; flew bay would bagel .
dog keep best time ; watch dog .
call condiment hit singl ; must heard .
call two fat peopl chat ; heavi discuss .
tomato turn red ; saw salad dress .
get plant kiss ; tu-lip two-lip .
daddi chimney say babi chimney ; littl smoke .
call ghost mom dad ; transpar .
god make one yogi bear ; tri make second one made boo-boo .
grape got step ; let littl wine .
call new girl bank ; nutella .
judg say skunk walk court room ; odor court .
fish say swam wall ; dam .
skeleton fight ; gut .
call chees ; nacho chees .
street ghost haunt ; dead end .
hear astronaut step chew gum ; got stuck orbit .
penni say penni ; make perfect cent .
man one hand cross road ; get second hand shop .
boy sprinkl sugar pillow went sleep ; could sweet dream .
call nervou javelin thrower ; shakespear .
hear painter hospit ; report say due mani stroke .
robber take bath ; want make clean getaway .
happen life give melon ; dyslex .
judg say dentist ; swear pull tooth whole tooth noth tooth .
boy tipto past medicin cabinet ; want wake sleep pill .
call funni mountain ; hill-ari .
goe rain come ; umbrella .
belt go jail ; held pair pant .
hear calendar thief ; got 12 month say day number .
happen life give melon ; dyslex .
one raindrop say ; two compani three cloud .
balloon burst ; saw lolli pop .
hear sick juggler ; say couldnt stop throw .
kind driver never get park ticket ; screw driver .
stamp say envelop ; stick go place .
shave 10 time day still beard ; barber .
call hors ca lose race ; sherbet .
call dentist armi ; drill sergeant .
triangl say circl ; pointless .
hear new johnni depp movi ; one rate arrrr .
milk stool 3 leg ; cow utter .
easi get hard get ; troubl .
hear guy die axe fell ; polic call axe-i-d .
dinosaur cross road ; chicken joke invent yet .
kind light noah use ark ; flood light .
hear monster five leg ; trouser fit like glove .
see giraff elementari school ; high school .
longest word dictionari ; smile mile s .
happen wooden car wooden wheel wooden engin ; wooden go .
month soldier hate ; month march .
painter say wall ; one crack like plaster .
call bee bad hair day ; frisbe .
go colleg ; want smarti .
stay ground never get dirti ; shadow .
kind short cloud wear ; thunderwear .
golfer wear two pair pant ; case get hole one .
kind berri color book ; crayon-berri .
call magician plane ; fli sorcer .
toilet paper roll hill ; want get bottom .
clean bottom ocean ; mer-maid .
when best time go dentist ; tooth-hurti .
one aspir wig say aspir wig ; wan na get head .
hear paddl sale boat store ; quit oar deal .
goofi put clock desk ; want work over-tim .
know diarrhea hereditari ; run jean .
would stole kiss ; call polic .
call south american girl alway hurri ; urgent tina .
johnni throw clock window ; want see time fli .
stop green go red ; eat watermelon .
tailor think new job ; sew sew .
farmer mend pant ; cabbag patch .
man lose job orang juic factori ; could concentr .
tell joke paper ; nah never mind tearabl .
repair broken tomato ; tomato past .
babi strawberri cri ; parent jam .
hamburg name daughter ; patti .
kind egg bad chicken lay ; devil egg .
kind key open door thanksgiv ; turkey .
cooki go hospit ; felt crummi .
teacher eye cross ; could control pupil .
call guy never fart public ; privat tutor .
call bear sock ; bare-foot .
serv never eat ; volleybal .
kind shoe spi wear ; sneaker .
soccer player bring string game ; could tie score .
basebal team similar muffin ; depend batter .
alien say garden ; take weeder .
call two fat peopl chat ; heavi discuss .
hear two bed bug met mattress ; got marri spring .
watermelon fanci wed ; cantaloup .
heard joke butter ; better tell might spread .
basebal player stay cool ; sit next fan .
math book sad ; mani problem .
run get anywher ; refriger .
astronaut favorit place comput ; space bar .
robot mad ; peopl kept push button .
exam young witch pass ; spell- test .
call sheep head leg ; cloud .
boy eat homework ; teacher said piec cake .
basketbal messi sport ; dribbl floor .
commun fish ; drop line .
digit watch say grandfath ; look grandpa hand .
sheep go get haircut ; baa baa shop .
shark like eat peanut butter ; jellyfish .
cat eat breakfast ; mice crispi .
ca leopard hide ; alway spot .
give dog fever ; mustard best thing hot dog .
get cross cat lemon ; sour puss .
kind flower sleep night ; day-zzz .
bird fli south winter ; easier walk .
kind key open banana ; monkey .
hear vampir bicycl went round bite peopl arm ; viciou cycl .
know carrot good eyesight ; ever seen rabbit wear glass .
hummingbird hum ; know word .
one plate say ; dinner .
fish bottom ocean ; drop school .
goe move ; temperatur .
weigh ton feather ton brick ; neither weigh ton .
hear blond gave cat bath ; still gotten hair tongu .
one horn give milk ; milk truck .
bull get messag ; bull-etin board .
bull go shop ; charg .
call hous like food ; condoment .
run ca walk ; faucet .
kind bed mermaid sleep ; water bed .
kind cracker firemen like soup ; firecrack .
barber win race ; took short cut .
boat go get sick ; dock .
call leftov alien ; extra terrestri .
taken get ; pictur .
what differ roast beef pea soup ; roast beef cant pea soup .
concert cost 45 cent ; 50 cent featur nickleback .
februari march ; april may .
hear injur veget ; say got beet .
tree go dentist ; get root canal .
call cat win dog show ; cat-has-trophi .
broom late ; swept .
2016 calendar popular 2015 calendar ; date .
caus airlin go bankrupt ; runway inflat .
call snowman six pack ; abdomin snowman .
hear joke germ ; never mind want spread around .
call person chop cereal ; cereal killer .
call crush angl ; rectangl .
fish alway know much weigh ; scale .
11 year old go pirat movi ; rate arrrrr .
janitor say jump closet ; suppli .
tie say hat ; go ahead hang around .
hear limo driver went 25 year without custom ; time noth chauffeur .
scarecrow win nobel prize ; outstand field .
pet make loudest nois ; trum-pet .
hear kidnap ; woke .
differ calendar ; calendar date .
call rabbit flea ; bug bunni .
word look backward upsid ; swim .
manag hire marsupi ; koala-fi .
