"original","clean"
"Q: How do you know if a blonde has been sending e-mail?  A: You see a bunch of envelopes stuffed into the disk drive. ","    know   blonde   sending e-mail?    see  bunch  envelopes stuffed   disk drive. "
"Q: Why do most women pay more attention to their appearance than improving their minds?  A: Because most men are stupid but few are blind. ","    women pay  attention   appearance  improving  minds?     men  stupid    blind. "
"Q: What do you call a group of blondes on roller skates?  A: A mobile sperm bank. ","    call  group  blondes  roller skates?    mobile sperm bank. "
"Q: How do you tell a male chromosome from a female chromosome?  A: Pull down its genes. ","    tell  male chromosome   female chromosome?   pull   genes. "
"Q: What do breasts and martinis have in common?  A: One is not enough and three are too many. ","   breasts  martinis   common?   one   enough  three   many. "
"Q: What do you call a row of rabbits jumping backwards?  A: A receding hair line. ","    call  row  rabbits jumping backwards?    receding hair line. "
"What do you call a song sung in an automobile? A cartoon. ","   call  song sung   automobile?  cartoon. "
"What do you call a fish with no eyes? Fsh. ","   call  fish   eyes? fsh. "
"What to you call a deer with no eyes? No eye deer. ","   call  deer   eyes?  eye deer. "
"How do you make a hot dog stand? Steal its chair. ","   make  hot dog stand? steal  chair. "
"What can you hold without ever touching it? A conversation. "," can  hold without ever touching ?  conversation. "
"What clothes does a house wear? Address. "," clothes   house wear? address. "
"What country makes you shiver? Chile. "," country makes  shiver? chile. "
"What do you get when you cross a stream and a brook? Wet feet. ","   get   cross  stream   brook? wet feet. "
"What do you get when you cross poison ivy with a 4-leaf clover? A rash of good luck. ","   get   cross poison ivy   4-leaf clover?  rash  good luck. "
"What has a lot of keys but can not open any doors? A piano. ","   lot  keys  can  open  doors?  piano. "
"What did the mother broom say to the baby broom? It's time to go to sweep. ","   mother broom say   baby broom? 's time  go  sweep. "
"What did the necktie say to the hat? You go on ahead. I'll hang around for a while. ","   necktie say   hat?  go  ahead. 'll hang around   . "
"What did the rug say to the floor? Don't move, I've got you covered. ","   rug say   floor?  move, 've got  covered. "
"Why did the doughnut shop close? The owner got tired of the (w)hole business! ","   doughnut shop close?  owner got tired   (w)hole business! "
"What do you call a country where everyone has to drive a red car? A red carnation. ","   call  country  everyone   drive  red car?  red carnation. "
"What's round and bad-tempered? A vicious circle. ","'s round  bad-tempered?  vicious circle. "
"What do you get when you cross a stream and a brook? Wet feet. ","   get   cross  stream   brook? wet feet. "
"What happens when frogs park illegally? They get toad. "," happens  frogs park illegally?  get toad. "
"What do you call a pig that does karate? A pork chop. ","   call  pig   karate?  pork chop. "
"What do you call a song sung in an automobile? A cartoon. ","   call  song sung   automobile?  cartoon. "
"What do you do when your chair breaks? Call a chairman. ","      chair breaks? call  chairman. "
"What do you get if you cross a chicken with a cement mixer? A brick layer! ","   get   cross  chicken   cement mixer?  brick layer! "
"Q. What's the difference between Simba and OJ Simpson?  A. One is an African lion and the other is a lion African! ",". 's  difference  simba  oj simpson?  . one   african lion      lion african! "
"Q. What's the difference between Princess Diana and Tiger Woods?  A. Tiger Woods had a better driver! ",". 's  difference  princess diana  tiger woods?  . tiger woods   better driver! "
"Q: Why can't you smoke weed in Iraq?  A: Because there is no piece in the middle east! ","    smoke weed  iraq?       piece   middle east! "
"Question: Why do most married men die before their wives?  Answer: Because they want to. ","question    married men die   wives?  answer   want . "
"Question: What do diapers and Politicians have in common?  Answer: They both need changing regularly - for exactly the same reason. ","question   diapers  politicians   common?  answer   need changing regularly -  exactly   reason. "
"Question: What is the definition of the early evening news?  Answer: It starts with the words "Good evening" then spends the next half an hour tellling you why it isn't one. ","question    definition   early evening news?  answer  starts   words "good evening"  spends  next half  hour tellling     one. "
"Question:What device will find furniture in a poorly lit room every time?  Answer: Your shinbone ","question device will find furniture   poorly lit room every time?  answer  shinbone "
"Question: Why do parents give children a middle name?  Answer: So the child knows when it is in seriously in trouble ","question   parents give children  middle name?  answer   child knows     seriously  trouble "
"Question: What is another name for female Viagra?  Answer: A Diamond ","question   another name  female viagra?  answer  diamond "
"Question: What did the cowboy say went he went into the car showroom in Germany?  Answer: Audi ","question    cowboy say went  went   car showroom  germany?  answer audi "
"Question : What is the quickest way to speed up your 70 year old husband’s heart rate?  Answer : Tell him that you are pregnant ","question     quickest way  speed   70 year old husband’s heart rate?  answer  tell     pregnant "
"Question: What is the best way to avoid wrinkles as you age?  Answer : Remove your spectacles ","question    best way  avoid wrinkles   age?  answer  remove  spectacles "
"Question : What three letters alter boys into men and girls into women?  Answer : AGE ","question   three letters alter boys  men  girls  women?  answer  age "
"Question : Why are fish so easy to weigh?  Answer : Because they have their own scales ","question    fish  easy  weigh?  answer       scales "
"Question: How you know that you are flying with a "no frills" airline?  Answer: You need to have the correct change to board the plane. ","question   know    flying   " frills" airline?  answer  need    correct change  board  plane. "
"Question: Why do "no frills" airlines never show movies on their flights?  Answer: They don’t need to. You keep seeing your life flashing before your very eyes. ","question   " frills" airlines never show movies   flights?  answer  don’t need .  keep seeing  life flashing    eyes. "
"Question: On a turkey, which side would you find most feathers?  Answer: The outside ","question   turkey,  side   find  feathers?  answer  outside "
"Question: Why is that all cats dislike flying saucers?  Answer: Because it is impossible for them to reach the milk. ","question     cats dislike flying saucers?  answer    impossible    reach  milk. "
"Question: If a cat has nine lives, what has more?  Answer: A frog – it croaks every day. ","question   cat  nine lives,   ?  answer  frog –  croaks every day. "
"Question: Which ballet do pigs like best?  Answer: Swine Lake. ","question  ballet  pigs like best?  answer swine lake. "
"Question: What is the big difference between chopped pork and pea soup?  Answer : Everybody can chop pork but everyone can't pea soup. ","question    big difference  chopped pork  pea soup?  answer  everybody can chop pork  everyone  pea soup. "
"Question: Why is it that we don't eat clowns?  Answer: They taste funny ","question       eat clowns?  answer  taste funny "
"Question: If you saw two cowboys in a kitchen, which would be the real one?  Answer : The one stood by the range. ","question   saw two cowboys   kitchen,     real one?  answer   one stood   range. "
"Question: Where would you find a dog with one leg?  Answer: Exactly where you had left it. ","question    find  dog  one leg?  answer exactly    left . "
"Question: Why did the room packed with married people seem empty?  Answer: Because there wasn't a single person there. ","question    room packed  married people seem empty?  answer     single person . "
"Question: What's the difference between a pessimist and a magnet?  Answer: A magnet has a positive side. ","question 's  difference   pessimist   magnet?  answer  magnet   positive side. "
"Question : What is the longest sentence that a man knows?  Answer: I do. ","question     longest sentence   man knows?  answer  . "
"Question: What do you call a chicken that is crossing the road?  Answer: Poultry in motion ","question    call  chicken   crossing  road?  answer poultry  motion "
"Question: What is a quicker way to transfer money than electronic banking?  Answer: Marriage. ","question    quicker way  transfer money  electronic banking?  answer marriage. "
"Question: What would you have if you crossed a panther with a beef burger?  Answer: Really fast food. ","question       crossed  panther   beef burger?  answer really fast food. "
"Question: What would you have if you crossed a pig with a karate expert?  Answer: Pork chops ","question       crossed  pig   karate expert?  answer pork chops "
"Question: Why do traffic lights rarely go swimming?  Answer: They take much too long to change. ","question   traffic lights rarely go swimming?  answer  take much  long  change. "
"Question: Why do thieves shower before they commit crime?  Answer: Because they like a clean getaway. ","question   thieves shower   commit crime?  answer   like  clean getaway. "
"Question: What type of bow can never be tied?  Answer: A Rainbow. ","question  type  bow can never  tied?  answer  rainbow. "
"Question: Why did Jack take a prune out for the evening?  Answer: He couldn’t get a date. ","question   jack take  prune    evening?  answer  couldn’t get  date. "
"Question: Why couldn’t the pirate play poker?  Answer: He was sat on the deck. ","question  couldn’t  pirate play poker?  answer   sat   deck. "
"Question: Which is the loudest state in the U.S.A.?  Answer: ILLI NOISE. ","question    loudest state   u.s..?  answer illi noise. "
"Question: Why is it that birds fly southwards for the winter?  Answer: Because it is much too far to walk. ","question     birds fly southwards   winter?  answer    much  far  walk. "
"Question: Why is it unpleasant to eat a meal next to a group of basketball players?.  Answer: They dribble far too much. ","question    unpleasant  eat  meal next   group  basketball players?.  answer  dribble far  much. "
"Question: How many teachers would it take to find their way out of a maze?  Answer: No idea as none have ever made it out yet. ","question  many teachers   take  find  way    maze?  answer  idea  none  ever made   yet. "
"Question: Where can you obtain virgin wool?  Answer: Really ugly sheep. ","question  can  obtain virgin wool?  answer really ugly sheep. "
"Question: How can you treble the value any Skoda car?  Answer: Put a gallon of petrol in it. ","question  can  treble  value  skoda car?  answer put  gallon  petrol  . "
"Question: What is the best definition of a mixed emotion?  Answer: Watching the mother-in-law reverse off a cliff driving your brand new car. ","question    best definition   mixed emotion?  answer watching  mother--law reverse   cliff driving  brand new car. "
"Question: What is a cow with no legs called?  Answer: Ground Beef. ","question    cow   legs called?  answer ground beef. "
"Question: Why does a divorce cost so much?  Answer: Because it is worth it. ","question    divorce cost  much?  answer    worth . "
"Question: Where would a 65 year old man find a young, attractive woman who would take any interest in him?  Answer : The local bookshop in the section marked "fiction". ","question    65 year old man find  young, attractive woman   take  interest  ?  answer   local bookshop   section marked "fiction". "
"Question: Why is it a good to use valet parking as you get older?  Answer: Because they will remember where the car was parked. ","question     good  use valet parking   get older?  answer   will remember   car  parked. "
"Question : If it takes six men eight hours for a wall to be built, how long would three men take to build it?  Answer : It wouldn't take any time - it has already been built. ","question    takes six men eight hours   wall   built,  long  three men take  build ?  answer    take  time -   already  built. "
"Question : What would you have if you had four peaches and three pears in one hand with four pears and three peaches in the other?  Answer: Incredibly large hands. ","question         four peaches  three pears  one hand  four pears  three peaches   ?  answer incredibly large hands. "
"Question: How would you lift a giraffe with one hand?  Answer: Doesn't matter as you won't find any one handed giraffe? ","question    lift  giraffe  one hand?  answer  matter    find  one handed giraffe? "
"Question: If a green stone was thrown into the sea what does it become?"  Answer: Wet ","question   green stone  thrown   sea    become?"  answer wet "
"Question : What falls regularly although never gets hurt?  Answer : Rain ","question   falls regularly although never gets hurt?  answer  rain "
"Question : What route do crazy people take to go through the woods?  Answer: They follow the psycho path. ","question   route  crazy people take  go   woods?  answer  follow  psycho path. "
"Question: How would a spoilt little rich girl change a light bulb?  Answer: She would ask Daddy to buy her a new apartment ","question    spoilt little rich girl change  light bulb?  answer   ask daddy  buy   new apartment "
"Question: What do people in prison use to communicate with one another?  Answer: Cell phones ","question   people  prison use  communicate  one another?  answer cell phones "
"Question: What would happen if you were to cross two snowmen with three vampires?  Answer: You would get severe frostbite ","question   happen     cross two snowmen  three vampires?  answer   get severe frostbite "
"Question: What is big, fuzzy and green with four legs and six pockets and if it were to fall from a tree it would probably kill you?  Answer: A snooker table. ","question   big, fuzzy  green  four legs  six pockets      fall   tree   probably kill ?  answer  snooker table. "
"Question: What lettuce was served in the salad bar on the Titanic?  Answer: Iceberg ","question  lettuce  served   salad bar   titanic?  answer iceberg "
"Question: What shakes and twitches and can be found at the sea bottom?  Answer: A nervous wreck ","question  shakes  twitches  can  found   sea bottom?  answer  nervous wreck "
"Question: Why is it there so many people with the surname Jones in the telephone book?  Answer: Because they have got phones. ","question      many people   surname jones   telephone book?  answer    got phones. "
"Question: Why is it that people always walk whenever they play the bagpipes?  Answer: Even they are attempting to get away from that awful noise. ","question     people always walk whenever  play  bagpipes?  answer even   attempting  get away   awful noise. "
"Question: What happened to the man who lost his left arm, left leg and eye in an accident?  Answer: It was touch and go but he is all right now. ","question  happened   man  lost  left arm, left leg  eye   accident?  answer   touch  go     right now. "
"Question: What was the name of the person who made King Arthur’s Round Table?  Answer: Sir Cumferance ","question    name   person  made king arthur’s round table?  answer sir cumferance "
"Q: What do you call rabbits that are hopping in reverse?  A: Simple, it is called a receding hare-line [hairline]. ","    call rabbits   hopping  reverse?   simple,   called  receding hare-line [hairline]. "
"Q: What do you call an old snowman?  A: Water. ","    call  old snowman?   water. "
"Q: Which coat is always wet when you put it on?  A: Obviously, a coat of paint. ","  coat  always wet   put  ?   obviously,  coat  paint. "
"Q: Which is the most curious letter?  A: Y? ","     curious letter?   y? "
"Q: A word consists of six letters. If you take away the last, only twelve remain. What is the word?  A: The word is “Dozens” ","  word consists  six letters.   take away  last,  twelve remain.    word?    word  “dozens” "
"Q: What kind of songs do lions sing at Christmas time?  A: Jungle bells [not jingle bells]! ","  kind  songs  lions sing  christmas time?   jungle bells [ jingle bells]! "
"Q: When is a boat like a pile of snow?  A: When it is adrift. ","    boat like  pile  snow?      adrift. "
"Q: How do snowmen get around?  A: On their icicles. ","   snowmen get around?     icicles. "
"Q: Which baseball player holds water?  A: The pitcher. ","  baseball player holds water?    pitcher. "
"Q: How are baseball players always in contact with one another?  A: They must touch base often. ","   baseball players always  contact  one another?    must touch base often. "
"Q: Why didn’t the skeleton cross the road?  A: He did not have any guts. ","  didn’t  skeleton cross  road?        guts. "
"Q: What is a Pumpkin pi [pie]?  A: It is what you get when you divide the circumference of a pumpkin by its diameter? ","    pumpkin pi [pie]?       get   divide  circumference   pumpkin   diameter? "
"Q: Why don’t ghosts like rain?  A: Because it dampens their spirits. ","  don’t ghosts like rain?     dampens  spirits. "
"Q: What do you call a dinosaur from Texas?  A: Tyrannosaurus Tex [Rex] ","    call  dinosaur  texas?   tyrannosaurus tex [rex] "
"Q: What do you call a dinosaur that wrecks everything?  A: Tyrannosaurus wrecks [Rex] ","    call  dinosaur  wrecks everything?   tyrannosaurus wrecks [rex] "
"Q: How do you make a hot dog stand?  A: Steal its chair. ","    make  hot dog stand?   steal  chair. "
"Q: How do we make an egg laugh?  A: Tell them a yolk [joke] ","    make  egg laugh?   tell   yolk [joke] "
"Q: How do you prevent a summer cold?  A: Catch it in the winter! ","    prevent  summer cold?   catch    winter! "
"Q: How does a pig go to hospital?  A: Obviously, in a hambulance. ","    pig go  hospital?   obviously,   hambulance. "
"Q: What bird can lift the most?  A: The crane. ","  bird can lift  ?    crane. "
"Q: What can you hold without ever touching it?  A: A conversation. ","  can  hold without ever touching ?    conversation. "
"Q: What kind of clothes does a house wear?  A: Ad-dress. ","  kind  clothes   house wear?   ad-dress. "
"Q: Which country makes you shiver?  A: Chile. ","  country makes  shiver?   chile. "
"Q: Why was one magnet infatuated by the other magnet?  A: Obviously, they were attracted. ","   one magnet infatuated    magnet?   obviously,   attracted. "
"Q: What did Delaware [Dela wear]?  A: Her New Jersey. ","   delaware [dela wear]?    new jersey. "
"Q: What did the mother broom say to the baby broom?  A: It is time to go to sweep [sleep] ","    mother broom say   baby broom?     time  go  sweep [sleep] "
"Q: What did the rug say to the floor?  A: Don't move, I have got you covered. ","    rug say   floor?    move,   got  covered. "
"Q: What do you call a person who is born in the USA, grows up in UK, and then dies in Japan?  A: Dead. ","    call  person   born   usa, grows   uk,   dies  japan?   dead. "
"Q: Why does the Easter Bunny have a shiny nose?  A: His powder puff is on the wrong end. ","    easter bunny   shiny nose?    powder puff    wrong end. "
"Q: Why were the teacher's eyes crossed?  A: She could not control her pupils. ","    teacher's eyes crossed?      control  pupils. "
"Q: What do you call a song sung in an automobile?  A: A cartoon [car tune] ","    call  song sung   automobile?    cartoon [car tune] "
"Q: What do you call the best butter on the farm?  A: A goat. ","    call  best butter   farm?    goat. "
"Q: Whom do you call when your chair cracks?  A: Call the chairman. ","    call   chair cracks?   call  chairman. "
"Q: What do you get if you cross the Easter bunny with a bug?  A: You get Bugs Bunny. ","    get   cross  easter bunny   bug?    get bugs bunny. "
"Q: What do you get when you cross a stream and a brook?  A: Wet feet. ","    get   cross  stream   brook?   wet feet. "
"Q: When do frogs become toads?  A: When frogs park illegally, they get toad [towed]. ","   frogs become toads?    frogs park illegally,  get toad [towed]. "
"Q: What has many keys but is unable to pen any locks?  A: A piano. ","   many keys   unable  pen  locks?    piano. "
"Q: What is a tree's favorite drink?  A: Root beer. ","    tree's favorite drink?   root beer. "
"Q: What do you do when you find that there is a gorilla in your bed?  A: Try to sleep elsewhere, without waking the gorilla. ","       find     gorilla   bed?   try  sleep elsewhere, without waking  gorilla. "
"Q: What kind of ties can't you wear?  A: Railroad ties. ","  kind  ties   wear?   railroad ties. "
"Q: What lies on its back, one hundred feet in the air?  A: A dead centipede. ","  lies   back, one hundred feet   air?    dead centipede. "
"Q: How can you tell vampires like baseball?  A: Every night they turn into bats. ","  can  tell vampires like baseball?   every night  turn  bats. "
"Q: What would the country be called if everyone in it lived in their cars?  A: An in-car-nation. ","    country  called  everyone   lived   cars?    -car-nation. "
"Q: What is a presidential seal?  A: It is a gray animal that eats fish, and lives in Washington, D.C. ","    presidential seal?      gray animal  eats fish,  lives  washington, d.c. "
"Q: Where did the farmer take the pigs on a Sunday morning?  A: It was holiday, so he took them to a pignic [picnic] ","    farmer take  pigs   sunday morning?     holiday,   took    pignic [picnic] "
"Q: What is the nightclub for fortunetellers called?  A: The crystal ball. ","    nightclub  fortunetellers called?    crystal ball. "
"Q: Why doesn’t the mummy have any friends?  A: He is much too wrapped up in himself. ","  doesn’t  mummy   friends?     much  wrapped   . "
"Q: Why are graveyards always noisy and full of sick people?  A: Because of all the coffin [coughin'] ","   graveyards always noisy  full  sick people?       coffin [coughin'] "
"Q: What did one elevator say to the other?  A: I believe I am coming down with something. ","   one elevator say   ?    believe   coming   something. "
"Q: Which subject did the witch top in school?  A: Spelling. ","  subject   witch top  school?   spelling. "
"Q: Why made the doughnut owner wind up its business?  A: Mainly because, he got tired of the hole business [w-hole] ","  made  doughnut owner wind   business?   mainly ,  got tired   hole business [w-hole] "
"Q: Which is the tallest building in Transylvania called?  A: Naturally, the Vampire State Building. ","    tallest building  transylvania called?   naturally,  vampire state building. "
"Q: What kind of cats like to go bowling alley?  A: Obviously, the alley cats. ","  kind  cats like  go bowling alley?   obviously,  alley cats. "
"Q: What does a nosey pepper do?  A: Gets jalapeno business! ","    nosey pepper ?   gets jalapeno business! "
"Q: What do you call a fake noodle?  A: An Impasta ","    call  fake noodle?    impasta "
"Q: What do you call an alligator in a vest?  A: An Investigator ","    call  alligator   vest?    investigator "
"Q: What happens if you eat yeast and shoe polish?  A: Every morning you'll rise and shine! ","  happens   eat yeast  shoe polish?   every morning 'll rise  shine! "
"Q: "What's the difference between a guitar and a fish?"  A: "You can't tuna fish." "," "'s  difference   guitar   fish?"   "  tuna fish." "
"Q: What do you call a pile of kittens?  A: a meowntain ","    call  pile  kittens?    meowntain "
"Q: What do you call a baby monkey?  A: A Chimp off the old block. ","    call  baby monkey?    chimp   old block. "
"Q: Did you hear about the race between the lettuce and the tomato?  A: The lettuce was a "head" and the tomato was trying to "ketchup"! ","   hear   race   lettuce   tomato?    lettuce   "head"   tomato  trying  "ketchup"! "
"Q: Did you hear about the hungry clock?  A: It went back four seconds. ","   hear   hungry clock?    went back four seconds. "
"Q: What do you call a boy who finally stood up to the bullies?  A: An ambulance. ","    call  boy  finally stood    bullies?    ambulance. "
"Q: Why can't you give Elsa a balloon?  A: Because she will Let it go. ","    give elsa  balloon?     will let  go. "
"Q: What do you get from a pampered cow?  A: Spoiled milk. ","    get   pampered cow?   spoiled milk. "
"Q: If Mississippi bought Virginia a New Jersey, what would Delaware?  A: Idaho... Alaska! ","  mississippi bought virginia  new jersey,   delaware?   idaho... alaska! "
"Q: Did you hear about that new broom?  A: It's sweeping the nation! ","   hear   new broom?   's sweeping  nation! "
"Q: What do you call an elephant that doesn't matter?  A: An irrelephant. ","    call  elephant   matter?    irrelephant. "
"Q: What do lawyers wear to court?  A: Lawsuits! ","   lawyers wear  court?   lawsuits! "
"Q: What gets wetter the more it dries?  A: A towel. ","  gets wetter    dries?    towel. "
"Q: Where do crayons go on vacation?  A: Color-ado! ","   crayons go  vacation?   color-ado! "
"Q: Why did the belt get arrested?  A: He held up a pair of pants. ","    belt get arrested?    held   pair  pants. "
"Q: What do you call a fat psychic?  A: A four chin teller. ","    call  fat psychic?    four chin teller. "
"Q: What do you call a computer floating in the ocean?  A: A Dell Rolling in the Deep. ","    call  computer floating   ocean?    dell rolling   deep. "
"Q: What did Bacon say to Tomato?  A: Lettuce get together! ","   bacon say  tomato?   lettuce get together! "
"Q: What do you call a computer that sings?  A: A-Dell ","    call  computer  sings?   -dell "
"Q: Did you hear about the shampoo shortage in Jamaica?  A: It's dread-full. ","   hear   shampoo shortage  jamaica?   's dread-full. "
"Q: What is it called when a cat wins a dog show?  A: A CAT-HAS-TROPHY! ","    called   cat wins  dog show?    cat--trophy! "
"Q: How do you make a tissue dance?  A: Put a little boogey in it! ","    make  tissue dance?   put  little boogey  ! "
"Q: What is heavy forward but not backward?  A: Ton. ","   heavy forward   backward?   ton. "
"Q: What do you call a gangsta snowman?  A: Froze-T ","    call  gangsta snowman?   froze-t "
"Q: What did the femur say to the patella?  A: I kneed you. ","    femur say   patella?    kneed . "
"Q: What do you get if you cross a cat with a dark horse?  A: Kitty Perry ","    get   cross  cat   dark horse?   kitty perry "
"Q: Why did the picture go to jail?  A: Because it was framed. ","    picture go  jail?      framed. "
"Q: What do you call a three-footed aardvark?  A: a yardvark! ","    call  three-footed aardvark?    yardvark! "
"Q: What do you get when you cross fish and an elephant?  A: Swimming trunks. ","    get   cross fish   elephant?   swimming trunks. "
"Q: Where do bees go to the bathroom?  A: At the BP station! ","   bees go   bathroom?     bp station! "
"Q: Who earns a living driving their customers away?  A: A taxi driver. ","  earns  living driving  customers away?    taxi driver. "
"Q: What do you call a laughing jar of mayonnaise?  A: LMAYO ","    call  laughing jar  mayonnaise?   lmayo "
"Q: What do you call a dinosaur with a extensive vocabulary?  A: a thesaurus. ","    call  dinosaur   extensive vocabulary?    thesaurus. "
"Q: "How do you shoot a killer bee?"  A: "With a bee bee gun." "," "   shoot  killer bee?"   "  bee bee gun." "
"Q: How do you drown a Hipster?  A: In the mainstream. ","    drown  hipster?     mainstream. "
"Q: What kind of jokes do you make in the shower?  A: Clean Jokes! ","  kind  jokes   make   shower?   clean jokes! "
"Q: What did the baby corn say to the mama corn?  A: "Where's Popcorn?" ","    baby corn say   mama corn?   "'s popcorn?" "
"Q: What do you call sad coffee?"  A: Despresso. ","    call sad coffee?"   despresso. "
"Q: How do you make holy water?  A: Boil the hell out of it! ","    make holy water?   boil  hell   ! "
"Q: What happened to the dog that swallowed a firefly?  A: It barked with de-light! ","  happened   dog  swallowed  firefly?    barked  de-light! "
"Q: What stays in the corner and travels all over the world?  A: A stamp. ","  stays   corner  travels    world?    stamp. "
"Q: What do you call a man with no body and just a nose?  A: Nobody nose. ","    call  man   body  just  nose?   nobody nose. "
"Q: Why did the computer go to the doctor?  A: Because it had a virus! ","    computer go   doctor?       virus! "
"Q: Why did the giraffe get bad grades?  A: He had his head in the clouds. ","    giraffe get bad grades?      head   clouds. "
"Q: Why are frogs so happy?  A: They eat whatever bugs them ","   frogs  happy?    eat whatever bugs  "
"Q: What is brown and has a head and a tail but no legs?  A: A penny. ","   brown    head   tail   legs?    penny. "
"Q: How do you make an Octupus laugh?  A: With ten-tickles ","    make  octupus laugh?    ten-tickles "
"Q: Why are pirates called pirates?  A: Cause they arrrrr. ","   pirates called pirates?   cause  arrrrr. "
"Q: What is the tallest building in the world?  A: The library! It has the most stories! ","    tallest building   world?    library!     stories! "
"Q: What's the first bet that most people make in their lives?  A: the alpha bet "," 's  first bet   people make   lives?    alpha bet "
"Q. What do you get when you cross a cow and a duck?  A. Milk and quackers! ",".    get   cross  cow   duck?  . milk  quackers! "
"Q: How do you organize a space party?  A: You planet! ","    organize  space party?    planet! "
"Q: What did the leopard say after eating his owner?  A: Man, that hit the "spot." ","    leopard say  eating  owner?   man,  hit  "spot." "
"Q: What do you call a sleeping bull?  A: A bulldozer! ","    call  sleeping bull?    bulldozer! "
"Q: What do you call security guards working outside Samsung shops?  A: Guardians of the Galaxy. ","    call security guards working outside samsung shops?   guardians   galaxy. "
"Q: What do you call having your grandma on speed dial?  A: Instagram. ","    call   grandma  speed dial?   instagram. "
"Q: Why did the banana go to the Doctor?  A: Because it was not peeling well ","    banana go   doctor?       peeling well "
"Q: Why is England the wettest country?  A: Because the queen has reigned there for years! ","   england  wettest country?     queen  reigned   years! "
"Q: What belongs to you but others use more?  A: Your name ","  belongs    others use ?    name "
"Q: Why do fish live in salt water?  A: Because pepper makes them sneeze! ","   fish live  salt water?    pepper makes  sneeze! "
"Q: Why did the man put his money in the freezer?  A: He wanted cold hard cash! ","    man put  money   freezer?    wanted cold hard cash! "
"Q: What do you get when you cross a snowman with a vampire?  A: Frostbite. ","    get   cross  snowman   vampire?   frostbite. "
"Q: What is the best day to go to the beach?  A: Sunday, of course! ","    best day  go   beach?   sunday,  course! "
"Q: Which is the building is the largest?  A: The library because it has the most stories. ","    building   largest?    library      stories. "
"Q: What do you call an illegally parked frog?  A: Toad. ","    call  illegally parked frog?   toad. "
"Q: What bow can't be tied?  A: A rainbow! ","  bow   tied?    rainbow! "
"Q: What do you call a laughing motorcycle?  A: A Yamahahaha ","    call  laughing motorcycle?    yamahahaha "
"Q: What season is it when you are on a trampoline?  A: Spring time. ","  season        trampoline?   spring time. "
"Q: Where did the computer go to dance?  A: To a disc-o. ","    computer go  dance?     disc-o. "
