id,category,joke_type,subject,joke_text,joke_submitter_id,joke_source
562,@Other@,@Dialogue@,@Anti Joke in a bar setting@,@It''s business as usual for a bartender, and one day as he is cleaning his bar when an unusual customer walks in. The man is dressed in an expensive suit, has a beautiful supermodel hanging off each arm, and has a limo parked outside. Furthermore, the man has an orange for a head. The customer sits down at the bar and orders everyone a drink. He pays for it from a roll of hundreds and manages to get the attention of every woman in the joint, despite having an orange for a head. The bartender is not a man to pry, but he feels compelled to ask about this man''s life. "Excuse me," says the bartender, "I can''t help but notice that you''re obviously fabulously wealthy and irresistible to women, but you have an orange for a head. How did that happen?" So the man told his story. "A while back, when I was penniless, I was walking along the beach and saw an old lamp, half buried in the sand. I picked it up and gave it a clean, and POOF! out popped a genie. The genie explained that he had been trapped in that lamp for two hundred years, and that he was so grateful to me for freeing him that he would give me three wishes. "For my first wish I asked for an unlimited fortune. The genie said ''It is done!'' and from then on, whenever I needed money, it was there. "For my second wish I asked for the attention of all the most beautiful women in the world. The genie said it was done, and since then I have been able to get any woman I wanted. "For my third wish -- and, here is where I think I messed up -- I asked for an orange for a head."@,540,@C84@
563,@Animal@,@Pun@,@Crab@,@ Why did the crab never share? Because he''s shellfish.@,471,@C14@
564,@Sports@,@Pun@,@running@,@Why did the pig quit running the marathon? He had a problem with his hamstring.@,NULL,@D35@
565,@Nerd@,@Pun@,@King Arthur@,@Who built King Arthur''s round table? Sir Cumference.@,NULL,@D16@
566,@Other@,@Question@,@Graveyards@,@Why was a fence put around the graveyard? Because people were dying to get inside.@,460,@C6@
567,@Sports@,@Pun@,@Soccer@,@What is a ghosts favorite position in soccer? Ghoul keeper. @,NULL,@D88@
568,@Sports@,@Question@,@motorcycle@,@What do you call a laughing motorcycle? A Yamahahaha@,477,@C18@
569,@Other@,@Pun@,@mimes@,@If you shoot a mime, should you use a silencer?@,465,@C16@
570,@Programming@,@One-liner@,@Computer programming@,@There are two hard things in computer science: cache invalidation, naming things, and off-by-one errors.@,484,@C23@
571,@Lawyer@,@Story@,@Doctors and Lawyers@,@A lawyer is cross examining a doctor about whether or not he had checked the pulse of the deceased before he signed the death certificate. "No," the doctor says, "I did not check his pulse." "And did you listen for a heart beat?" says the lawyer. "No I did not," says the doctor. "So," says the lawyer, "when you signed the death certificate, you had not taken proper steps to make sure he was dead." The doctor says, "well let me put it this way: the man''s brain was in a jar on my desk, but for all I know he could be out practicing law somewhere."@,NULL,@D82@
572,@Math@,@Pun@,@trigonometry@,@I can never understand my trigonometry teacher because he always talks in sine language.@,NULL,@D32@
573,@Medicine@,@Pun@,@Broken Leg@,@I told the doctor I broke my leg in two places. He told me to quit going to those places.@,NULL,@D141@
574,@Math@,@Punch line@,@Imaginary numbers@,@Mathematics is made of 50 percent formulas, 50 percent proofs, and 50 percent imagination. @,NULL,@D139@
576,@Dad@,@Pun@,@Velcro@,@I wouldn''t buy anything with velcro. It''s a total rip-off.@,NULL,@D185@
577,@Lawyer@,@Punch line@,@grammar@,@Whats the difference between a lawyer and a liar? Pronunciation.@,NULL,@D85@
578,@Programming@,@Pun@,@code@,@Q: How many bits of bait does a programmer need to go fishing? A: At least 8, or else the fish won’t byte@,NULL,@D30@
579,@Nerd@,@Pun@,@Physics@,@You matter! Unless you multiply yourself by the speed of light, in which case you energy!@,NULL,@D38@
580,@School@,@Punch line@,@College@,@A parent was asked what his kid was taking in college. Their answer: Every penny I have.@,NULL,@D13@
581,@Chuck Norris@,@Fun Fact@,@Chuck Norris@,@Chuck Norris has already been to Mars; that''s why there are no signs of life@,NULL,@D166@
582,@Programming@,@One-liner@,@(tabs > spaces) == true@,@spaces > tabs@,457,@C3@
583,@Lawyer@,@Punch line@,@vivisepulture@,@What do you have when you''ve got six lawyers buried up to their necks in sand? Not enough sand.@,NULL,@D79@
584,@School@,@Pun@,@school\math@,@Why don''t you do arithmetic homework in the jungle? Because if you add 4+4 you get ate.@,NULL,@D21@
585,@Other@,@Pun@,@Old man not seeing the "well"@,@Why did the old man fall down the well? Because he couldn''t see very well.@,470,@C32@
586,@Programming@,@Question@,@Oct = octal to Dec = decimal convertion@,@Why do programmers always mix up Halloween and Christmas? Because Oct 31 equals Dec 25.@,531,@C74@
587,@Medicine@,@Question@,@Upset@,@Why was the doctor upset? Because he ran out of patients!@,NULL,@D148@
588,@Programming@,@Pun@,@Programming job@,@Why did the programmer quit his job? Because he didn''t get arrays.@,NULL,@D49@
589,@Animal@,@Question@,@Fish@,@What''s the difference between a guitar and a fish? You can tune a guitar, but you can''t tuna fish.@,NULL,@D102@
590,@Children@,@Question@,@children\school@,@Why did the boy eat his homework? Because his teacher said it was a piece of cake.@,NULL,@D20@
591,@Nerd@,@One-liner@,@Video games@,@Why is EA the worst gaming company in America? Because Ubisoft is in France.@,NULL,@D19@
592,@Children@,@Other@,@children@,@If you make a camp to help kids with ADHD then is it a concentration camp?@,NULL,@D27@
593,@Lawyer@,@Punch line@,@drowning@,@What do you throw to a drowning lawyer? His partners.@,NULL,@D86@
594,@Dad@,@Pun@,@Horse@,@What do you call a pony with a sore throat? A little horse.@,NULL,@D182@
595,@Sports@,@Pun@,@Karate@,@What do you call a pig who knows karate? Pork Chop.@,NULL,@D93@
597,@Other@,@Question@,@Science@,@Q: What do you call a stolen Tesla? A: An Edison@,462,@C7@
598,@Animal@,@Punch line@,@Bee@,@Q: What do you call a bee born in May? A: A maybe! @,NULL,@D113@
599,@Other@,@Question@,@food@,@What type of bagel can fly? A plain bagel.@,467,@C9@
600,@School@,@Silly@,@Mom asks@,@Kid comes home from 1st day at school. Mum asks, ''What did you learn today?'' Kid replies, ''Not enough. I have to go back tomorrow.''@,NULL,@D125@
601,@Animal@,@Punch line@,@Alligator@,@Q: What do you call an alligator in a vest? A: An Investigator @,NULL,@D111@
602,@Programming@,@Question@,@Software vs Hardware@,@Q: How many programmers does it take to screw in a light bulb? A: None. It''s a hardware problem.@,507,@C45@
604,@Medicine@,@Punch line@,@pregnancy@,@A man speaks frantically into the phone, "My wife is pregnant, and her contractions are only two minutes apart!" "Is this her first child?" the doctor queries. "No, you idiot!" the man shouts. "This is her husband!" @,NULL,@D68@
605,@Medicine@,@Pun@,@doctors@,@My doctors office has two doctors on call at all times. Is that considered a pair a docs.@,NULL,@D61@
606,@Programming@,@Question@,@C++@,@Why did C++ decide to not go out with C? Because quite frankly, C just has no class.@,526,@C68@
608,@Dad@,@Pun@,@Grape@,@What did the grape do when he got stepped on? He let out a little wine. @,NULL,@D186@
609,@Animal@,@Question@,@Cat@,@Why don''t cats like online shopping? They prefer a cat-alogue.@,NULL,@D103@
610,@Math@,@Question@,@Overfitting@,@Why was the function so bent out of shape? Its regression model was too tight a fit.@,NULL,@D136@
611,@Lawyer@,@Punch line@,@lies@,@How does an attorney sleep? First he lies on one side, and then he lies on the other.@,NULL,@D84@
612,@Animal@,@Pun@,@Cat pur@,@you''re not feline well? do you need a purramedic?@,553,@C102@
613,@School@,@Question@,@Student`s action@,@Q: Why did the student throw his watch out of the school window? A: He wanted to see time fly. @,483,@C22@
614,@Sports@,@Pun@,@Swimming@,@Why were the swimming elephants thrown out of the Olympics? Because they couldn''t keep their trunks up.@,NULL,@D92@
615,@Medicine/Doctor@,@One-liner@,@@,@Say what you want about deaf people@,472,@C86@
616,@Other@,@One-liner@,@People@,@A guy walks into a bar and says “ow”@,464,@C8@
617,@Programming@,@Question@,@programming@,@why did I fail ecs171? Because I let the machine do all the learning. @,491,@C31@
618,@Animal@,@Question@,@Elephants@,@Where does an elephant pack his luggage? In his trunk!@,NULL,@D110@
619,@Dad@,@Pun@,@Drugs@,@I bought shoes from a drug dealer once. I don''t know what he laced them with, but I was tripping all day.@,NULL,@D181@
620,@Animal@,@Question@,@Sheep@,@Where did the sheep go on vacation? The baaaaaaahamas@,NULL,@D107@
621,@Programming@,@Pun@,@computer@,@what do computers and air condition have in common? they both become useless when you open windows.@,NULL,@D70@
622,@Other@,@One-liner@,@Puns@,@I submitted ten puns to a pun contest hoping one would win. But no pun in ten did.@,544,@C89@
623,@Math@,@Punch line@,@Funny Wifi Password@,@Set your wifi password to 2444666668888888. So when someone asks tell them it''s 12345678.@,458,@C4@
624,@Programming@,@Dialogue@,@Programming@,@Q: What is a programmer''s favourite hangout place? A: Foo Bar@,504,@C78@
625,@Other@,@Question@,@bicycles@,@Why couldn''t the bicycle stand up on its own? It was two tired!@,543,@C88@
626,@Animal@,@Question@,@Cows@,@Why did the cow cross the road? To get to the udder-side@,555,@C104@
627,@Sports@,@Other@,@Chris Tillman@,@What is the difference between Chris Tillman and a professional bowler? A professional bowler knows how to throw a strike. @,NULL,@D87@
628,@Medicine/Doctor@,@Pun@,@Glass Coffins@,@It remains to be seen if glass coffins will become popular.@,479,@C20@
629,@Other@,@Question@,@America rapper, "snoop dog" and his well acclaimed rapping style.@,@Why does Snoop dogg carry an umbrella? Fo-drizzle.@,470,@C13@
631,@Lawyer@,@Story@,@lawyer fees@,@A lawyer sent a note to a client - "Dear Jim, I thought I saw you on the street the other day. I crossed over to say hello, but it wasn''t you, so I went back. One tenth of an hour, $25."@,NULL,@D78@
633,@Medicine@,@Question@,@doctors@,@Q: Does an apple a day keep the doctor away? A: Only if you aim it well enough.@,NULL,@D64@
634,@Children@,@Pun@,@babies@,@Smaller babies may be delivered by stork but the heavier ones need a crane.@,NULL,@D31@
635,@Dad@,@Other@,@Soda@,@Why did the cancrusher quit his job? Because it was soda-pressing@,NULL,@D154@
636,@School@,@Dialogue@,@1 plus 1@,@One day, Miss Li, the Math teacher, asked Xiaoming, "What is 1 plus 1?" "I don''t know, Miss Li", Xiaoming replied. "Go home and ask your family. I''ll ask you again tomorrow", said Miss Li. Back home, Xiaoming went to his mom, and asked, "What is 1 plus 1?" Mom said, "Don''t disturb me. I''m busy now." Then, he went to his sister, and asked, "What is 1 plus 1?" His sister was talking on the phone, and didn''t hear Xiaoming. The other person on the phone asked, "What''s your favorite song?". "Just like you", said his sister. After that, he went to ask his brother, "What is 1 plus 1?" His brother was with his girlfriend, and didn''t hear Xiaoming. His brother said "Goodbye, sweetheart!" to his girlfriend. The other day, Xiaoming went to school. Miss Li asked, "Did you get the answer?" "Yes, Miss Li", said Xiaoming. Miss Li then asked, "So what is 1 plus 1?" Xiaoming answered, "Don''t disturb me. I''m busy now." Miss Li was annoyed, and said, "What are you saying? Are you crazy, Xiaoming?" "Just like you", Xiaoming continued. "Get out of the classroom!" Miss Li yelled. Xiaoming finished the last part of his answer, "Goodbye, sweetheart!"@,493,@C35@
637,@Other@,@Pun@,@Chemistry@,@I''d tell you a chemistry joke but I know I wouldn''t get a reaction.@,510,@C52@
638,@Programming@,@Other@,@programmer@,@A program is never finished until the programmer dies. @,NULL,@D69@
639,@Sports@,@Question@,@NFL@,@How does a Cleveland Browns fan count to 10? 0-1, 0-2, 0-3, 0-4, 0-5, 0-6, 0-7, 0-8, 0-9, 0-10.@,552,@C95@
640,@Other@,@Pun@,@It''s a pun about two famous artists, i.e. 50 cents and Nickelback. @,@What kind of concert only costs 45 cents? A 50 cents concert featuring Nickelback.@,545,@C92@
641,@Math@,@Punch line@,@Triangle Ratios@,@Why did I divide sin by tan? Just cos.@,NULL,@D10@
642,@Other@,@Punch line@,@Anti-joke@,@What is red and smells like blue paint? Red paint.@,469,@C12@
643,@Math@,@One-liner@,@Math joke@,@The problem with trigonometry jokes is that they are too graphic@,537,@C80@
644,@School@,@Pun@,@school@,@What do you call a friendly school? Hi school!@,NULL,@D25@
645,@Animal@,@One-liner@,@Animal@,@We are eating dinner soon. Don''t fill up on homework. - Dog Mom@,516,@C57@
646,@Nerd@,@Pun@,@Wordplay@,@What has 4 letters, sometimes has 9 letter, but never has 5 letters. Just thought you should know.@,NULL,@D17@
647,@Dad@,@Other@,@Pasta@,@What do you call a fake noodle? an impasta@,NULL,@D156@
648,@Sports@,@Pun@,@golf@,@Why did the golfer wear two pairs of pants? In case he got a hole in one.@,NULL,@D90@
649,@Math@,@Punch line@,@PhD in Mathematics@,@What is the difference between a Ph.D. in mathematics and a large pizza? A large pizza can feed a family of four.@,NULL,@D7@
650,@School@,@Other@,@Pencil@,@Who''s there? "A broken pencil." "A broken pencil who?" "Never mind, it''s pointless."@,NULL,@D121@
651,@Nerd@,@Other@,@Communism@,@Your mother is so classless, she could be a Marxist Utopia.@,NULL,@D41@
652,@Other@,@Question@,@food@,@What did the Papa Tomato say to the slow Baby Tomato? He stomped on him and said "Ketchup!"@,494,@C36@
653,@Other@,@Pun@,@A play on words@,@A pessimist''s blood type is always B-negative.@,548,@C97@
654,@Lawyer@,@Pun@,@Lawyers@,@A lawyer-turned-cook is a sue chef.@,NULL,@D29@
655,@Programming@,@Other@,@Infinite loops@,@Endless Loop: n., see Loop, Endless. Loop, Endless: n., see Endless Loop. - Random Shack Data Processing Dictionary @,500,@C40@
658,@Politics@,@One-liner@,@Political Jokes@,@It is difficult to come up with new political jokes, seeing as they all end up getting elected to office.@,NULL,@D173@
659,@Programming@,@Dialogue@,@Programming@,@A guy touches the breast of a girl. Girl: "Hey! They are private!" Guy: "But we are in the same class."@,488,@C26@
660,@Other@,@Pun@,@@,@Why did the tomato blush? Because it saw the salad dressing.@,503,@C48@
661,@Other@,@Pun@,@Brain Teaser@,@As I said before, I never repeat myself.@,474,@C19@
663,@School@,@One-liner@,@Plagiarism is Bad@,@The plagiarism section of the syllabus is the same for every class, almost as if it was copied...&...pasted.@,NULL,@D127@
664,@Programming@,@Question@,@A heuristic outlook on capitalist socioeconomic systems. @,@What''s the object-oriented way to become wealthy? Inheritance!@,489,@C27@
665,@School@,@Pun@,@libraries@,@A library should have several floors because it is a multi story building.@,NULL,@D33@
666,@Math@,@Question@,@negative numbers@,@Q: Did you hear about the mathematician who’s afraid of negative numbers? A: He will stop at nothing to avoid them.@,508,@C46@
667,@Dad@,@Pun@,@Physics@,@Don''t trust atoms, they make up everything @,NULL,@D188@
677,@Nerd@,@Question@,@Chickens@,@Why''d the chicken cross the road? To get to the other side.@,474,@website@
